J         CT        CP        eta
0.333949  0.115017  0.062778  0.611839
0.355332  0.112838  0.062932  0.637117
0.374823  0.111109  0.063156  0.659417
0.395295  0.109275  0.063430  0.680999
0.416301  0.107422  0.063686  0.702193
0.435989  0.104840  0.063506  0.719765
0.456808  0.102264  0.063399  0.736843
0.476225  0.099476  0.063064  0.751189
0.497573  0.097033  0.062917  0.767375
0.516801  0.094017  0.062427  0.778323
0.537369  0.091144  0.062015  0.789776
0.557072  0.088144  0.061452  0.799034
0.576146  0.084935  0.060742  0.805625
0.596572  0.081983  0.060198  0.812462
0.614837  0.078127  0.058936  0.815035
0.633865  0.073886  0.057394  0.816009
0.654068  0.069764  0.055727  0.818826
0.670610  0.064495  0.053180  0.813295
0.691440  0.059240  0.050597  0.809549
0.711657  0.053860  0.047755  0.802630
0.732340  0.047741  0.044349  0.788366
0.752643  0.042355  0.041148  0.774717
0.770056  0.038133  0.038662  0.759509
0.794401  0.033048  0.035580  0.737880
