J         CT        CP        eta
0.152460  0.053843  0.019704  0.416606
0.184588  0.050447  0.019380  0.480491
0.218224  0.047085  0.019086  0.538347
0.247097  0.043244  0.018417  0.580195
0.275983  0.039079  0.017579  0.613517
0.310771  0.034333  0.016605  0.642567
0.340109  0.029373  0.015292  0.653268
0.374868  0.023463  0.013668  0.643524
0.406187  0.017169  0.011588  0.601796
0.439106  0.010317  0.009158  0.494651
0.471132  0.003664  0.006691  0.257967
0.471979  0.003775  0.006777  0.262935
0.471979  0.003775  0.006777  0.262935
0.471979  0.003775  0.006777  0.262935
0.471979  0.003775  0.006777  0.262935
0.471979  0.003775  0.006777  0.262935
