J         CT        CP        eta
0.452615  0.094847  0.062941  0.682049
0.480170  0.090489  0.062446  0.695800
0.504439  0.085879  0.061556  0.703761
0.530884  0.081083  0.060691  0.709253
0.555842  0.076912  0.059812  0.714749
0.581360  0.072579  0.058802  0.717559
0.605612  0.067808  0.057222  0.717646
0.633140  0.062768  0.055603  0.714722
0.658449  0.058152  0.053922  0.710093
0.683940  0.052422  0.051510  0.696041
0.714902  0.046364  0.049044  0.675822
0.741505  0.040571  0.046341  0.649174
0.767860  0.034033  0.042910  0.608997
0.791821  0.028637  0.039996  0.566936
0.820849  0.021992  0.036280  0.497567
0.847006  0.014951  0.031913  0.396797
0.874074  0.008533  0.028111  0.265303
0.899697  0.002366  0.024293  0.087591
0.925766 -0.004002  0.020118 -0.184173
0.953075 -0.010451  0.015872 -0.627565
0.979719 -0.016884  0.011660 -1.418712
1.005549 -0.023239  0.007451 -3.136154
1.003986 -0.023153  0.007458 -3.116778
1.003986 -0.023153  0.007458 -3.116778
