J         CT        CP        eta
0.139247  0.113305  0.049370  0.319573
0.176825  0.111141  0.049741  0.395100
0.216552  0.108488  0.050092  0.469002
0.253952  0.105272  0.050490  0.529485
0.289659  0.101640  0.050734  0.580302
0.328013  0.097930  0.051190  0.627505
0.367069  0.093747  0.051544  0.667620
0.403953  0.088181  0.051155  0.696340
0.439549  0.080471  0.049589  0.713281
0.471722  0.072360  0.047088  0.724904
0.504909  0.063230  0.043603  0.732193
0.544874  0.054107  0.039395  0.748356
0.579156  0.047355  0.036341  0.754673
0.613263  0.040812  0.033147  0.755085
0.652720  0.033537  0.029503  0.741953
0.685006  0.027248  0.026062  0.716164
0.766018  0.012619  0.018711  0.516606
