J         CT        CP        eta
0.124099  0.109116  0.040992  0.330339
0.142625  0.106630  0.041076  0.370235
0.164943  0.106010  0.041867  0.417644
0.184729  0.104646  0.042299  0.457006
0.207582  0.103368  0.042854  0.500708
0.219941  0.101421  0.042725  0.522104
0.244969  0.099704  0.043228  0.565015
0.265818  0.097415  0.043330  0.597615
0.286920  0.095227  0.043433  0.629075
0.308614  0.093129  0.043608  0.659078
0.329130  0.090847  0.043627  0.685360
0.349052  0.087908  0.043338  0.708018
0.369494  0.085723  0.043360  0.730500
0.389249  0.082679  0.043010  0.748256
