J         CT        CP        eta
0.335202  0.062982  0.031817  0.663518
0.355521  0.060051  0.031247  0.683254
0.373873  0.056783  0.030443  0.697354
0.395017  0.053707  0.029757  0.712935
0.413861  0.050412  0.028828  0.723711
0.434056  0.046900  0.027865  0.730572
0.453374  0.043771  0.026921  0.737123
0.472410  0.040378  0.025828  0.738521
0.493371  0.036475  0.024523  0.733828
0.514500  0.032581  0.023147  0.724164
0.535136  0.028687  0.021737  0.706215
0.553015  0.024931  0.020253  0.680742
0.573116  0.021313  0.018719  0.652503
0.594811  0.017220  0.017056  0.600513
0.613224  0.013631  0.015511  0.538866
0.634895  0.009511  0.013700  0.440769
0.652962  0.005882  0.011944  0.321545
0.674470  0.001815  0.010152  0.120560
0.693854 -0.003012  0.007988 -0.261703
0.693323 -0.003016  0.007971 -0.262367
0.693323 -0.003016  0.007971 -0.262367
0.693323 -0.003016  0.007971 -0.262367
0.693323 -0.003016  0.007971 -0.262367
0.693323 -0.003016  0.007971 -0.262367
