J         CT        CP        eta
0.366292  0.075381  0.041012  0.673258
0.388410  0.072280  0.040476  0.693604
0.409345  0.068343  0.039476  0.708679
0.430549  0.065198  0.038802  0.723445
0.453679  0.061396  0.037804  0.736812
0.473719  0.057234  0.036506  0.742680
0.494740  0.053837  0.035574  0.748726
0.517321  0.050063  0.034328  0.754425
0.537305  0.046096  0.032986  0.750843
0.562301  0.041218  0.031154  0.743953
0.581567  0.036958  0.029343  0.732482
0.602471  0.032517  0.027435  0.714091
0.626397  0.027640  0.025392  0.681847
0.647527  0.022511  0.022986  0.634162
0.670737  0.017200  0.020510  0.562498
0.691939  0.012268  0.018112  0.468685
0.712873  0.006800  0.015298  0.316888
0.735753  0.001479  0.012548  0.086729
0.757591 -0.003928  0.009606 -0.309778
0.779994 -0.009766  0.006369 -1.196061
0.781126 -0.009871  0.006335 -1.217129
0.781126 -0.009871  0.006335 -1.217129
0.781126 -0.009871  0.006335 -1.217129
0.781126 -0.009871  0.006335 -1.217129
