J         CT        CP        eta
0.207733  0.105368  0.047493  0.460873
0.250649  0.102500  0.048004  0.535199
0.297364  0.098490  0.048522  0.603592
0.343372  0.093218  0.048525  0.659635
0.388810  0.087201  0.048233  0.702927
0.432494  0.077594  0.046328  0.724371
0.476280  0.066224  0.042421  0.743527
0.515722  0.056328  0.038105  0.762361
0.563062  0.046973  0.033677  0.785349
0.607690  0.039033  0.029755  0.797187
0.654541  0.031481  0.025900  0.795576
0.703147  0.023293  0.021417  0.764715
0.747997  0.015451  0.017357  0.665872
0.787035  0.008287  0.013345  0.488712
0.837429 -0.001888  0.007429 -0.213193
0.837272 -0.001727  0.007624 -0.189661
