J         CT        CP        eta
0.148157  0.091408  0.044958  0.301229
0.186020  0.088258  0.044534  0.368660
0.224986  0.085223  0.044638  0.429544
0.263220  0.082272  0.044393  0.487812
0.300040  0.078011  0.043440  0.538825
0.341175  0.076402  0.044211  0.589591
0.377606  0.071778  0.043145  0.628187
0.417031  0.068437  0.042934  0.664752
0.452485  0.064562  0.042196  0.692325
0.486898  0.059494  0.040778  0.710376
0.524358  0.054364  0.039139  0.728340
0.562620  0.049062  0.037283  0.740362
0.599773  0.042462  0.034376  0.740858
0.641095  0.035408  0.030936  0.733784
0.676604  0.028718  0.027332  0.710907
0.714625  0.021659  0.023273  0.665075
0.758445  0.012687  0.017627  0.545863
