J         CT        CP        eta
0.124189  0.063165  0.023459  0.334383
0.151818  0.060358  0.023247  0.394174
0.176874  0.057380  0.022883  0.443511
0.203053  0.054218  0.022542  0.488375
0.229158  0.050685  0.022067  0.526359
0.254164  0.046885  0.021392  0.557051
0.281024  0.042930  0.020714  0.582420
0.307516  0.038395  0.019729  0.598469
0.333674  0.033619  0.018523  0.605607
0.359027  0.029305  0.017422  0.603933
0.388570  0.023652  0.015749  0.583549
0.412621  0.019156  0.014327  0.551683
0.439842  0.013435  0.012415  0.475964
0.466871  0.007596  0.010382  0.341575
0.492417  0.002186  0.008353  0.128833
0.517148 -0.003056  0.006339 -0.249319
