J         CT        CP        eta
0.107832  0.059908  0.019607  0.329475
0.135743  0.057054  0.019482  0.397523
0.159276  0.055020  0.019456  0.450429
0.183851  0.052288  0.019195  0.500824
0.208102  0.049078  0.018728  0.545342
0.232331  0.046276  0.018420  0.583662
0.255437  0.043032  0.017872  0.615034
0.281297  0.039787  0.017300  0.646934
0.303240  0.036431  0.016559  0.667129
0.325815  0.032844  0.015728  0.680387
0.350738  0.029390  0.014893  0.692136
0.375535  0.025493  0.013821  0.692692
0.402444  0.020788  0.012404  0.674470
0.423568  0.016879  0.011116  0.643151
0.448915  0.012020  0.009517  0.566951
0.472408  0.007107  0.007775  0.431803
