J         CT        CP        eta
0.127502  0.104231  0.037251  0.356764
0.125211  0.104877  0.037435  0.350788
0.142867  0.103346  0.037720  0.391431
0.157603  0.102176  0.038011  0.423645
0.175385  0.100499  0.038205  0.461343
0.190456  0.098860  0.038292  0.491698
0.208311  0.097288  0.038505  0.526319
0.225291  0.095293  0.038525  0.557268
0.240869  0.093903  0.038670  0.584909
0.257679  0.091998  0.038662  0.613164
0.273105  0.090247  0.038671  0.637346
0.289585  0.088579  0.038735  0.662236
0.308134  0.086374  0.038669  0.688272
