J         CT        CP        eta
0.141995  0.113415  0.061192  0.263178
0.169792  0.118093  0.059532  0.336817
0.202464  0.120552  0.059032  0.413456
0.231652  0.119501  0.059506  0.465207
0.261998  0.116914  0.059618  0.513795
0.292984  0.115762  0.060527  0.560348
0.323759  0.113233  0.060744  0.603521
0.353403  0.110174  0.060770  0.640713
0.384032  0.107658  0.061200  0.675561
0.416138  0.104321  0.061359  0.707506
0.446520  0.100482  0.061157  0.733645
0.476309  0.096585  0.060902  0.755388
0.505900  0.092026  0.060296  0.772119
0.536015  0.086669  0.059269  0.783822
0.565770  0.080483  0.057549  0.791238
0.592580  0.072620  0.054464  0.790124
