J         CT        CP        eta
0.293839  0.107366  0.051654  0.610767
0.310197  0.105865  0.051812  0.633813
0.329175  0.104338  0.052093  0.659305
0.348693  0.102262  0.052148  0.683778
0.366989  0.100847  0.052433  0.705849
0.385646  0.098741  0.052403  0.726659
0.405434  0.096647  0.052448  0.747097
0.423281  0.094484  0.052352  0.763920
0.441674  0.092294  0.052210  0.780769
0.460609  0.089998  0.052050  0.796424
0.479891  0.087385  0.051731  0.810650
0.496156  0.084742  0.051190  0.821351
0.514581  0.082298  0.050829  0.833170
0.533174  0.079767  0.050420  0.843500
0.550623  0.076641  0.049545  0.851749
0.568032  0.073631  0.048681  0.859161
0.584084  0.070011  0.047359  0.863442
0.601702  0.066839  0.046222  0.870087
0.616772  0.063147  0.044652  0.872232
0.637635  0.058269  0.042500  0.874218
0.656011  0.053830  0.040384  0.874431
0.670698  0.049829  0.038332  0.871871
0.692735  0.044246  0.035471  0.864130
0.709585  0.040037  0.033375  0.851220
