J         CT        CP        eta
0.307991  0.088986  0.042080  0.651302
0.326951  0.086439  0.042040  0.672239
0.344969  0.083889  0.041882  0.690955
0.363817  0.081237  0.041804  0.706996
0.381438  0.078016  0.041272  0.721025
0.399556  0.074539  0.040636  0.732898
0.418141  0.071060  0.039956  0.743646
0.435205  0.066685  0.038675  0.750395
0.452736  0.062112  0.037280  0.754302
0.470738  0.057654  0.035765  0.758836
0.491258  0.052397  0.033920  0.758862
0.510553  0.047534  0.032028  0.757733
0.528170  0.043024  0.030142  0.753895
0.547129  0.039037  0.028574  0.747478
0.564615  0.034775  0.026774  0.733327
0.583224  0.030089  0.024739  0.709341
0.602832  0.026286  0.022940  0.690758
0.622833  0.022448  0.021063  0.663776
0.640764  0.018787  0.019310  0.623413
0.657157  0.014999  0.017324  0.568939
0.677179  0.010946  0.015125  0.490044
0.693780  0.007000  0.012939  0.375323
0.713506  0.002705  0.010547  0.182966
0.733107 -0.001710  0.008043 -0.155862
