J         CT        CP        eta
0.541570  0.076837  0.059721  0.696797
0.573714  0.072038  0.058641  0.704787
0.600703  0.066617  0.056795  0.704588
0.631508  0.060337  0.054403  0.700391
0.663550  0.054459  0.052208  0.692170
0.695455  0.048380  0.049710  0.676857
0.728128  0.040767  0.046061  0.644461
0.760700  0.033683  0.042468  0.603352
0.790593  0.025634  0.037678  0.537882
0.823951  0.018109  0.033362  0.447257
0.856176  0.010663  0.028767  0.317354
0.890280  0.002631  0.023770  0.098559
0.920973 -0.004332  0.019231 -0.207460
0.951726 -0.011276  0.014764 -0.726897
0.984698 -0.018621  0.010043 -1.825926
0.984158 -0.018453  0.010029 -1.810820
0.984158 -0.018453  0.010029 -1.810820
0.984158 -0.018453  0.010029 -1.810820
0.984158 -0.018453  0.010029 -1.810820
0.984158 -0.018453  0.010029 -1.810820
0.984158 -0.018453  0.010029 -1.810820
0.984158 -0.018453  0.010029 -1.810820
0.984158 -0.018453  0.010029 -1.810820
0.984158 -0.018453  0.010029 -1.810820
