J         CT        CP        eta
0.372750  0.069551  0.038894  0.666559
0.396410  0.066993  0.038582  0.688312
0.417023  0.064110  0.037989  0.703765
0.438553  0.061035  0.037151  0.720487
0.462101  0.058195  0.036542  0.735932
0.484246  0.055586  0.035949  0.748763
0.505833  0.052381  0.034931  0.758517
0.526490  0.049315  0.033884  0.766250
0.548043  0.045959  0.032628  0.771965
0.568126  0.042667  0.031344  0.773356
0.591103  0.039706  0.030143  0.778638
0.612684  0.036178  0.028612  0.774689
0.633876  0.032978  0.026944  0.775799
0.654038  0.029377  0.025013  0.768144
0.678573  0.025748  0.023201  0.753064
0.702774  0.021390  0.020846  0.721077
0.723752  0.017683  0.018745  0.682764
0.745097  0.013190  0.016199  0.606707
0.767897  0.009126  0.013892  0.504478
0.787374  0.004942  0.011441  0.340083
0.809107  0.000097  0.008501  0.009268
0.809167  0.000109  0.008508  0.010340
0.809167  0.000109  0.008508  0.010340
0.809167  0.000109  0.008508  0.010340
