J         CT        CP        eta
0.140857  0.103775  0.038580  0.378878
0.162543  0.102059  0.038982  0.425528
0.186648  0.098907  0.038986  0.473526
0.213627  0.096720  0.039451  0.523739
0.231190  0.095932  0.039939  0.555315
0.257405  0.091962  0.039646  0.597075
0.280759  0.089423  0.039763  0.631389
0.306140  0.087228  0.040056  0.666659
0.327390  0.083731  0.039714  0.690256
0.352416  0.080845  0.039716  0.717377
0.376527  0.077402  0.039405  0.739605
0.400224  0.073601  0.038794  0.759316
0.423727  0.070223  0.038333  0.776230
0.445536  0.065820  0.037271  0.786816
