J         CT        CP        eta
0.124122  0.091939  0.032246  0.353888
0.146628  0.090385  0.032511  0.407640
0.176025  0.087792  0.032725  0.472216
0.199283  0.086122  0.033094  0.518595
0.223488  0.083856  0.033381  0.561420
0.247610  0.081130  0.033501  0.599633
0.273034  0.077595  0.033376  0.634760
0.298709  0.073883  0.033148  0.665788
0.323408  0.069559  0.032652  0.688958
0.348309  0.064618  0.031761  0.708640
0.372103  0.059202  0.030372  0.725311
0.394564  0.053741  0.028833  0.735432
0.418023  0.048085  0.027028  0.743685
0.440591  0.043070  0.025440  0.745914
0.461942  0.037405  0.023289  0.741940
