J         CT        CP        eta
0.113201  0.088157  0.034545  0.288881
0.134899  0.086053  0.034528  0.336205
0.160862  0.083305  0.034448  0.389005
0.186410  0.080590  0.034254  0.438579
0.208862  0.078003  0.033981  0.479443
0.234785  0.075189  0.033784  0.522536
0.258761  0.072338  0.033458  0.559460
0.283467  0.069225  0.033028  0.594131
0.305690  0.066190  0.032472  0.623109
0.329153  0.062989  0.031868  0.650594
0.353908  0.059544  0.031229  0.674796
0.377339  0.056298  0.030519  0.696064
0.399293  0.052355  0.029456  0.709715
0.425333  0.048229  0.028375  0.722936
0.447721  0.044737  0.027381  0.731509
0.471759  0.040182  0.025869  0.732778
