J         CT        CP        eta
0.102723  0.097111  0.038352  0.260106
0.120228  0.096599  0.038626  0.300674
0.138483  0.096120  0.038888  0.342290
0.159214  0.094827  0.039019  0.386938
0.176947  0.093352  0.039159  0.421830
0.195024  0.092549  0.039568  0.456155
0.212661  0.090566  0.039531  0.487202
0.232832  0.087542  0.039650  0.514058
0.251571  0.086332  0.040046  0.542350
0.268922  0.084060  0.039925  0.566203
0.289805  0.082644  0.040442  0.592211
0.307808  0.079361  0.040290  0.606291
0.326483  0.077649  0.040344  0.628371
0.345183  0.074987  0.039995  0.647189
0.363693  0.072618  0.039683  0.665531
