J         CT        CP        eta
0.151095  0.080788  0.032338  0.377474
0.191688  0.073512  0.031502  0.447322
0.229924  0.065819  0.029895  0.506223
0.271379  0.057809  0.027921  0.561878
0.311005  0.050904  0.026055  0.607614
0.351626  0.043995  0.024092  0.642123
0.391208  0.038552  0.022531  0.669379
0.428364  0.031906  0.020363  0.671170
0.469897  0.025301  0.018264  0.650946
0.519734  0.015565  0.014908  0.542655
0.551231  0.009785  0.012824  0.420612
0.600657 -0.000401  0.009052 -0.026660
0.630072 -0.007148  0.006297 -0.715493
0.627340 -0.007085  0.006255 -0.710655
0.627340 -0.007085  0.006255 -0.710655
0.627340 -0.007085  0.006255 -0.710655
0.627340 -0.007085  0.006255 -0.710655
