J         CT        CP        eta
0.340381  0.054023  0.027446  0.669994
0.362666  0.048543  0.025900  0.679728
0.382797  0.044681  0.024777  0.690310
0.402678  0.040069  0.023166  0.696482
0.423180  0.035765  0.021733  0.696422
0.442605  0.031900  0.020484  0.689268
0.465628  0.027061  0.018798  0.670314
0.486843  0.023163  0.017380  0.648830
0.507810  0.019145  0.015870  0.612596
0.528386  0.015970  0.014403  0.585878
0.549448  0.011253  0.012359  0.500265
0.570328  0.007434  0.010682  0.396883
0.590714  0.003331  0.008591  0.229047
0.611750 -0.001125  0.006558 -0.104911
0.610126 -0.001107  0.006526 -0.103458
0.610126 -0.001107  0.006526 -0.103458
0.610126 -0.001107  0.006526 -0.103458
0.610126 -0.001107  0.006526 -0.103458
0.610126 -0.001107  0.006526 -0.103458
0.610126 -0.001107  0.006526 -0.103458
0.610126 -0.001107  0.006526 -0.103458
0.610126 -0.001107  0.006526 -0.103458
0.610126 -0.001107  0.006526 -0.103458
0.610126 -0.001107  0.006526 -0.103458
