J         CT        CP        eta
0.102920  0.093602  0.032812  0.293588
0.126158  0.092036  0.033247  0.349220
0.144993  0.090167  0.033403  0.391372
0.161735  0.088257  0.033514  0.425912
0.182345  0.086143  0.033666  0.466576
0.199266  0.084189  0.033548  0.500071
0.218963  0.081952  0.033489  0.535835
0.239915  0.079156  0.033401  0.568574
0.260446  0.076789  0.033381  0.599140
0.279499  0.073961  0.033071  0.625094
0.300637  0.071170  0.032745  0.653423
0.318767  0.068342  0.032257  0.675378
0.337263  0.065357  0.031675  0.695896
0.355877  0.063160  0.031386  0.716166
0.374909  0.059718  0.030585  0.732023
