J         CT        CP        eta
0.112901  0.108201  0.042706  0.286047
0.133577  0.106863  0.043060  0.331488
0.157106  0.105832  0.043629  0.381084
0.171753  0.104336  0.043655  0.410485
0.196894  0.102991  0.044231  0.458461
0.217638  0.101211  0.044380  0.496333
0.238165  0.099832  0.044768  0.531106
0.259147  0.098501  0.045190  0.564867
0.279976  0.096121  0.045135  0.596247
0.302457  0.094689  0.045535  0.628949
0.321801  0.092343  0.045404  0.654480
0.344810  0.090713  0.045752  0.683659
0.363998  0.088015  0.045488  0.704312
0.384885  0.085626  0.045456  0.725014
0.406698  0.083073  0.045408  0.744043
