J         CT        CP        eta
0.343852  0.081874  0.040922  0.687960
0.363311  0.078767  0.040671  0.703620
0.383973  0.074688  0.039970  0.717497
0.404313  0.070337  0.039008  0.729032
0.424071  0.065357  0.037641  0.736323
0.443492  0.060574  0.036211  0.741873
0.461703  0.055296  0.034312  0.744073
0.484079  0.050350  0.032583  0.748057
0.504067  0.044694  0.030340  0.742571
0.526942  0.039229  0.028034  0.737374
0.546645  0.034642  0.026027  0.727584
0.566653  0.030155  0.024164  0.707151
0.589137  0.025537  0.022141  0.679488
0.609373  0.022508  0.020460  0.670378
0.630852  0.018233  0.018541  0.620379
0.651441  0.013917  0.016201  0.559598
0.671294  0.009548  0.014020  0.457166
0.691253  0.005556  0.011970  0.320827
0.714033  0.001162  0.009673  0.085764
0.734095 -0.003396  0.007415 -0.336172
0.732386 -0.003384  0.007383 -0.335722
0.732386 -0.003384  0.007383 -0.335722
0.732386 -0.003384  0.007383 -0.335722
0.732386 -0.003384  0.007383 -0.335722
