J         CT        CP        eta
0.335121  0.083433  0.043566  0.641787
0.355185  0.080261  0.043094  0.661518
0.376368  0.076532  0.042337  0.680354
0.396093  0.073840  0.041930  0.697536
0.415543  0.070357  0.041063  0.711984
0.436008  0.067484  0.040448  0.727440
0.455200  0.063687  0.039313  0.737427
0.475368  0.060588  0.038516  0.747778
0.494677  0.056821  0.037256  0.754448
0.512492  0.053054  0.035880  0.757794
0.533013  0.049223  0.034533  0.759749
0.552145  0.045514  0.033087  0.759514
0.572936  0.041199  0.031319  0.753668
0.593997  0.037275  0.029656  0.746585
0.613076  0.033609  0.028050  0.734566
0.633126  0.029164  0.025876  0.713557
0.653027  0.025566  0.023967  0.696581
0.672936  0.021127  0.021743  0.653839
0.694099  0.016418  0.019353  0.588803
0.712486  0.011995  0.016921  0.505085
0.733089  0.006806  0.013955  0.357525
0.755145  0.001769  0.011243  0.118816
0.775251 -0.003589  0.008191 -0.339682
0.775208 -0.003563  0.008202 -0.336772
