J         CT        CP        eta
0.328922  0.079187  0.036831  0.707178
0.351038  0.076370  0.036654  0.731406
0.371010  0.072733  0.036055  0.748428
0.391688  0.069606  0.035637  0.765046
0.410339  0.065043  0.034413  0.775565
0.431199  0.060617  0.033236  0.786444
0.450468  0.056100  0.031798  0.794740
0.468654  0.052023  0.030452  0.800626
0.487860  0.046723  0.028480  0.800357
0.504954  0.042456  0.026805  0.799790
0.526517  0.037280  0.024919  0.787707
0.548306  0.032677  0.023177  0.773073
0.568588  0.028345  0.021228  0.759230
0.590364  0.023903  0.019213  0.734495
0.608662  0.019744  0.017210  0.698321
0.629959  0.015261  0.015084  0.637346
0.648820  0.011102  0.012946  0.556371
0.668581  0.006754  0.010689  0.422506
0.689022  0.002681  0.008560  0.215776
0.691460  0.002721  0.008636  0.217903
0.691460  0.002721  0.008636  0.217903
0.691460  0.002721  0.008636  0.217903
0.691460  0.002721  0.008636  0.217903
0.691460  0.002721  0.008636  0.217903
