J         CT        CP        eta
0.104299  0.104131  0.038666  0.280887
0.121309  0.103121  0.038971  0.320994
0.147545  0.101213  0.039403  0.378990
0.168811  0.099746  0.039786  0.423216
0.191868  0.098019  0.040170  0.468165
0.214475  0.096115  0.040490  0.509119
0.235676  0.093476  0.040467  0.544397
0.259674  0.091556  0.040916  0.581059
0.280146  0.089273  0.041087  0.608697
0.304093  0.086134  0.041089  0.637471
0.326465  0.082785  0.040936  0.660207
0.349380  0.078923  0.040543  0.680123
0.370000  0.073978  0.039515  0.692702
0.393346  0.069468  0.038584  0.708196
0.414491  0.064227  0.037134  0.716899
0.435894  0.058281  0.035161  0.722518
