J         CT        CP        eta
0.116239  0.070008  0.024583  0.331030
0.140393  0.066902  0.024406  0.384842
0.163539  0.064560  0.024297  0.434546
0.187643  0.061826  0.024033  0.482719
0.211521  0.059255  0.023859  0.525317
0.236062  0.056174  0.023517  0.563870
0.258076  0.053326  0.023161  0.594187
0.282861  0.049876  0.022657  0.622668
0.306167  0.046552  0.022122  0.644262
0.331010  0.042848  0.021488  0.660048
0.354603  0.039043  0.020699  0.668872
0.378070  0.035009  0.019780  0.669142
0.402353  0.030585  0.018689  0.658464
0.425332  0.025854  0.017327  0.634631
0.452108  0.020722  0.015829  0.591886
0.474006  0.015873  0.014262  0.527534
