J         CT        CP        eta
0.150363  0.071958  0.030060  0.359940
0.192066  0.069258  0.030003  0.443364
0.228802  0.064713  0.029066  0.509407
0.269144  0.060399  0.028317  0.574069
0.311443  0.055328  0.027395  0.629018
0.350725  0.049061  0.025768  0.667766
0.387607  0.042564  0.023892  0.690530
0.429437  0.035047  0.021535  0.698856
0.478812  0.025449  0.017931  0.679558
0.508816  0.020509  0.016007  0.651945
0.554739  0.011116  0.011710  0.526603
0.587751  0.004898  0.008673  0.331930
0.590429  0.004912  0.008736  0.332027
0.590429  0.004912  0.008736  0.332027
0.590429  0.004912  0.008736  0.332027
0.590429  0.004912  0.008736  0.332027
0.590429  0.004912  0.008736  0.332027
