J         CT        CP        eta
0.183571  0.063146  0.025398  0.456404
0.220920  0.055737  0.023842  0.516463
0.262543  0.050338  0.022864  0.578017
0.304593  0.043080  0.021039  0.623704
0.342795  0.036874  0.019397  0.651676
0.381597  0.029735  0.017130  0.662391
0.433348  0.019983  0.013833  0.626009
0.470451  0.013826  0.011886  0.547244
0.506665  0.006966  0.009366  0.376888
0.547209 -0.000442  0.006507 -0.037180
0.543828 -0.000388  0.006448 -0.032703
0.543828 -0.000388  0.006448 -0.032703
0.543828 -0.000388  0.006448 -0.032703
0.543828 -0.000388  0.006448 -0.032703
0.543828 -0.000388  0.006448 -0.032703
0.543828 -0.000388  0.006448 -0.032703
