J         CT        CP        eta
0.283058  0.099493  0.046651  0.603681
0.302021  0.098090  0.046909  0.631550
0.317971  0.095785  0.046659  0.652757
0.336077  0.094491  0.046909  0.676977
0.353961  0.092714  0.046946  0.699046
0.371219  0.090903  0.046949  0.718751
0.389424  0.089142  0.047005  0.738520
0.405883  0.086710  0.046695  0.753708
0.423824  0.084407  0.046493  0.769433
0.442342  0.082188  0.046354  0.784287
0.458634  0.079432  0.045837  0.794789
0.476028  0.076971  0.045437  0.806413
0.493422  0.074310  0.044899  0.816643
0.509647  0.070869  0.043862  0.823462
0.527323  0.067764  0.042963  0.831734
0.544087  0.064398  0.041807  0.838088
0.559985  0.060685  0.040362  0.841933
0.575175  0.056816  0.038774  0.842809
0.591714  0.052658  0.036990  0.842350
0.607569  0.049197  0.035519  0.841535
0.625769  0.044755  0.033510  0.835747
0.644949  0.039792  0.031104  0.825089
0.660446  0.036344  0.029389  0.816753
0.677334  0.032664  0.027421  0.806845
