J         CT        CP        eta
0.448389  0.069592  0.046711  0.668011
0.473261  0.065868  0.045788  0.680795
0.500091  0.061532  0.044577  0.690287
0.527364  0.056939  0.043157  0.695756
0.554628  0.052335  0.041676  0.696458
0.581116  0.047726  0.040006  0.693246
0.606592  0.042394  0.037800  0.680309
0.635210  0.036667  0.035372  0.658446
0.659723  0.031532  0.032977  0.630792
0.688653  0.024953  0.029763  0.577333
0.715141  0.019197  0.026836  0.511562
0.739712  0.013325  0.023565  0.418248
0.766576  0.007471  0.020221  0.283200
0.793821  0.001509  0.016840  0.071103
0.817723 -0.004179  0.013388 -0.255279
0.844031 -0.010419  0.009540 -0.921814
0.872397 -0.016121  0.006050 -2.324985
0.873712 -0.016246  0.005983 -2.372384
0.873712 -0.016246  0.005983 -2.372384
0.873712 -0.016246  0.005983 -2.372384
0.873712 -0.016246  0.005983 -2.372384
0.873712 -0.016246  0.005983 -2.372384
0.873712 -0.016246  0.005983 -2.372384
0.873712 -0.016246  0.005983 -2.372384
