J         CT        CP        eta
0.152384  0.111678  0.061626  0.276144
0.190725  0.111138  0.060534  0.350167
0.233392  0.115086  0.060431  0.444481
0.272027  0.114636  0.059810  0.521388
0.310752  0.111654  0.059881  0.579419
0.354474  0.108521  0.060513  0.635694
0.394593  0.104297  0.060730  0.677670
0.434116  0.099355  0.060627  0.711419
0.473849  0.092906  0.059822  0.735901
0.509849  0.086068  0.058413  0.751229
0.550674  0.076566  0.055335  0.761964
0.585322  0.065524  0.050218  0.763725
0.627310  0.055109  0.044943  0.769210
0.663957  0.047033  0.040524  0.770597
0.713183  0.038120  0.035691  0.761712
0.746030  0.032269  0.032311  0.745036
0.792576  0.023629  0.027251  0.687233
