J         CT        CP        eta
0.129821  0.095848  0.033538  0.371005
0.142446  0.095509  0.033892  0.401419
0.163081  0.093301  0.033922  0.448544
0.180469  0.091764  0.034097  0.485688
0.202024  0.089556  0.034210  0.528859
0.217746  0.087979  0.034271  0.558980
0.238239  0.086028  0.034418  0.595485
0.254780  0.083670  0.034277  0.621922
0.272571  0.081718  0.034313  0.649130
0.290786  0.079615  0.034312  0.674724
0.309710  0.076979  0.034150  0.698126
0.328959  0.074180  0.033897  0.719896
0.346067  0.071474  0.033543  0.737404
