J         CT        CP        eta
0.167413  0.110095  0.046991  0.392225
0.200291  0.109811  0.048197  0.456332
0.230394  0.107705  0.048707  0.509465
0.259273  0.104719  0.048825  0.556090
0.290988  0.103030  0.049591  0.604560
0.324013  0.100704  0.050156  0.650567
0.354737  0.097821  0.050401  0.688494
0.381886  0.093596  0.049926  0.715926
0.411618  0.089980  0.049843  0.743083
0.443600  0.085772  0.049611  0.766927
0.472232  0.080436  0.048624  0.781190
0.498796  0.074283  0.046901  0.789996
0.524355  0.067366  0.044415  0.795314
0.555988  0.058267  0.040532  0.799274
0.584447  0.051475  0.037407  0.804239
