J         CT        CP        eta
0.087662  0.095462  0.031630  0.264573
0.113213  0.094880  0.032410  0.331427
0.133730  0.092706  0.032585  0.380461
0.161860  0.089821  0.032830  0.442844
0.175306  0.088637  0.033085  0.469666
0.197139  0.086492  0.033497  0.509035
0.217117  0.083561  0.033451  0.542367
0.237167  0.079225  0.032919  0.570786
0.258808  0.076455  0.032961  0.600328
0.278668  0.070881  0.031742  0.622277
0.298913  0.066644  0.030892  0.644867
0.318615  0.061662  0.029762  0.660115
0.340712  0.055928  0.028094  0.678287
0.361547  0.051765  0.026935  0.694839
0.429659  0.037066  0.022145  0.719171
0.404836  0.042558  0.024117  0.714403
