J         CT        CP        eta
0.404953  0.054445  0.029712  0.742050
0.426430  0.050945  0.028773  0.755036
0.449407  0.047207  0.027655  0.767132
0.472174  0.043461  0.026482  0.774919
0.495349  0.039622  0.025149  0.780393
0.516506  0.036128  0.023881  0.781401
0.543561  0.031406  0.022009  0.775640
0.567152  0.027419  0.020098  0.773746
0.590347  0.022555  0.017970  0.740962
0.614659  0.017652  0.015794  0.686987
0.639780  0.012202  0.013237  0.589739
0.661692  0.006794  0.010496  0.428281
0.684859  0.000961  0.007440  0.088466
0.685131  0.000916  0.007434  0.084425
0.685131  0.000916  0.007434  0.084425
0.685131  0.000916  0.007434  0.084425
0.685131  0.000916  0.007434  0.084425
0.685131  0.000916  0.007434  0.084425
0.685131  0.000916  0.007434  0.084425
0.685131  0.000916  0.007434  0.084425
0.685131  0.000916  0.007434  0.084425
0.685131  0.000916  0.007434  0.084425
0.685131  0.000916  0.007434  0.084425
0.685131  0.000916  0.007434  0.084425
