J         CT        CP        eta
0.110511  0.123554  0.060117  0.227125
0.131900  0.127982  0.059401  0.284180
0.153820  0.126924  0.059764  0.326678
0.173080  0.126090  0.060162  0.362745
0.191143  0.124147  0.060069  0.395045
0.212063  0.123103  0.060461  0.431779
0.233624  0.122214  0.061054  0.467649
0.253251  0.121030  0.061388  0.499302
0.273980  0.119697  0.061831  0.530395
0.293583  0.118218  0.062140  0.558526
0.314034  0.116586  0.062486  0.585924
0.333477  0.114802  0.062702  0.610569
0.352633  0.113025  0.062926  0.633382
0.374369  0.111440  0.063390  0.658141
0.394104  0.108973  0.063278  0.678697
