J         CT        CP        eta
0.115638  0.111807  0.043085  0.300081
0.148203  0.109405  0.043428  0.373354
0.169137  0.108032  0.043817  0.417003
0.197733  0.105391  0.044132  0.472206
0.223979  0.102494  0.044374  0.517346
0.249766  0.099288  0.044680  0.555027
0.275567  0.094559  0.044393  0.586975
0.302152  0.090639  0.044279  0.618501
0.328164  0.087216  0.044233  0.647054
0.354190  0.082944  0.043691  0.672402
0.379971  0.078525  0.042928  0.695060
0.406699  0.074022  0.042004  0.716708
0.431168  0.069734  0.040979  0.733703
0.455855  0.065196  0.039635  0.749840
0.481764  0.060562  0.038180  0.764187
0.506160  0.055879  0.036595  0.772876
