J         CT        CP        eta
0.143825  0.098639  0.037977  0.373559
0.177938  0.096619  0.038636  0.444976
0.216097  0.093952  0.039387  0.515467
0.252747  0.089769  0.039540  0.573822
0.288841  0.083970  0.039100  0.620297
0.325673  0.079941  0.039331  0.661930
0.362415  0.073918  0.038672  0.692726
0.395703  0.066918  0.036873  0.718143
0.429303  0.059489  0.034820  0.733448
0.462116  0.052580  0.032338  0.751397
0.493609  0.045961  0.029556  0.767582
0.527267  0.039539  0.027001  0.772101
0.561617  0.033214  0.024408  0.764255
0.597329  0.027118  0.021826  0.742179
0.627503  0.020080  0.018473  0.682073
0.661847  0.013209  0.015060  0.580480
