J         CT        CP        eta
0.102150  0.095687  0.033213  0.294300
0.120613  0.094466  0.033505  0.340065
0.140110  0.093159  0.033835  0.385772
0.157915  0.091678  0.034066  0.424982
0.176687  0.090462  0.034481  0.463552
0.196366  0.088305  0.034619  0.500883
0.215115  0.086119  0.034738  0.533291
0.233209  0.083944  0.034812  0.562345
0.251195  0.081563  0.034817  0.588457
0.271050  0.078477  0.034616  0.614483
0.289113  0.075252  0.034255  0.635133
0.307926  0.071310  0.033604  0.653451
0.327092  0.067221  0.032817  0.669999
0.344773  0.062741  0.031708  0.682214
0.363227  0.057867  0.030358  0.692369
