J         CT        CP        eta
0.619846  0.038750  0.032277  0.744158
0.651510  0.032026  0.028694  0.727147
0.690253  0.025631  0.025300  0.699287
0.729712  0.017808  0.021152  0.614357
0.761941  0.012113  0.018046  0.511444
0.801249  0.004324  0.013685  0.253189
0.835636 -0.002244  0.010021 -0.187099
0.837780 -0.002265  0.010042 -0.188917
0.837780 -0.002265  0.010042 -0.188917
0.837780 -0.002265  0.010042 -0.188917
0.837780 -0.002265  0.010042 -0.188917
0.837780 -0.002265  0.010042 -0.188917
0.837780 -0.002265  0.010042 -0.188917
0.837780 -0.002265  0.010042 -0.188917
0.837780 -0.002265  0.010042 -0.188917
0.837780 -0.002265  0.010042 -0.188917
0.837780 -0.002265  0.010042 -0.188917
0.837780 -0.002265  0.010042 -0.188917
0.837780 -0.002265  0.010042 -0.188917
0.837780 -0.002265  0.010042 -0.188917
0.837780 -0.002265  0.010042 -0.188917
0.837780 -0.002265  0.010042 -0.188917
0.837780 -0.002265  0.010042 -0.188917
0.837780 -0.002265  0.010042 -0.188917
