J         CT        CP        eta
0.107805  0.111713  0.044033  0.273503
0.124712  0.110666  0.044292  0.311603
0.144461  0.109495  0.044578  0.354833
0.160975  0.109087  0.045075  0.389585
0.177207  0.107638  0.045184  0.422146
0.195674  0.106572  0.045564  0.457674
0.212419  0.105313  0.045796  0.488491
0.230226  0.103856  0.046009  0.519689
0.248688  0.102872  0.046443  0.550851
0.266449  0.100784  0.046408  0.578653
0.282976  0.099296  0.046552  0.603600
0.301649  0.098040  0.046880  0.630839
0.318647  0.096107  0.046830  0.653955
0.335774  0.094414  0.046866  0.676438
