J         CT        CP        eta
0.245273  0.080691  0.032140  0.615781
0.259784  0.078715  0.032020  0.638629
0.274780  0.076905  0.031978  0.660830
0.291145  0.074864  0.031859  0.684157
0.306178  0.072524  0.031590  0.702916
0.321296  0.069993  0.031236  0.719947
0.336789  0.067752  0.030949  0.737290
0.351113  0.065339  0.030530  0.751446
0.367553  0.062634  0.030049  0.766128
0.380679  0.059912  0.029396  0.775851
0.396357  0.057026  0.028731  0.786714
0.410405  0.054022  0.027915  0.794236
0.425822  0.051221  0.027207  0.801658
0.439017  0.048361  0.026400  0.804212
0.454421  0.045393  0.025614  0.805297
0.471409  0.041865  0.024515  0.805037
0.485902  0.038424  0.023334  0.800122
0.502112  0.034918  0.022129  0.792279
0.515308  0.031297  0.020698  0.779224
0.531672  0.028460  0.019694  0.768315
0.548421  0.024321  0.017970  0.742248
0.563106  0.021126  0.016448  0.723267
0.578900  0.017683  0.014869  0.688440
0.593321  0.014406  0.013288  0.643240
