J         CT        CP        eta
0.113846  0.108211  0.040824  0.301768
0.129223  0.107358  0.041109  0.337473
0.146879  0.107340  0.041840  0.376816
0.171192  0.105108  0.042067  0.427747
0.184335  0.104395  0.042413  0.453724
0.205578  0.102929  0.042831  0.494027
0.221633  0.101112  0.042895  0.522435
0.240283  0.099896  0.043225  0.555311
0.258540  0.098230  0.043391  0.585290
0.277282  0.096729  0.043627  0.614785
0.296628  0.094568  0.043600  0.643384
0.312861  0.093134  0.043756  0.665915
0.332641  0.091027  0.043800  0.691295
0.350293  0.088701  0.043628  0.712182
