J         CT        CP        eta
0.732206  0.061656  0.061797  0.730539
0.772690  0.054634  0.058201  0.725329
0.815765  0.048380  0.054902  0.718864
0.859008  0.040006  0.049493  0.694349
0.903339  0.031459  0.043641  0.651176
0.946077  0.023194  0.037668  0.582543
0.988978  0.013911  0.030464  0.451608
1.030613  0.005778  0.024040  0.247694
1.074742 -0.002957  0.016847 -0.188642
1.124756 -0.011562  0.009884 -1.315810
1.126894 -0.011635  0.009956 -1.316841
1.126894 -0.011635  0.009956 -1.316841
1.126894 -0.011635  0.009956 -1.316841
1.126894 -0.011635  0.009956 -1.316841
1.126894 -0.011635  0.009956 -1.316841
1.126894 -0.011635  0.009956 -1.316841
1.126894 -0.011635  0.009956 -1.316841
1.126894 -0.011635  0.009956 -1.316841
1.126894 -0.011635  0.009956 -1.316841
1.126894 -0.011635  0.009956 -1.316841
1.126894 -0.011635  0.009956 -1.316841
1.126894 -0.011635  0.009956 -1.316841
1.126894 -0.011635  0.009956 -1.316841
1.126894 -0.011635  0.009956 -1.316841
