J         CT        CP        eta
0.142577  0.102272  0.082292  0.177195
0.172289  0.102228  0.081055  0.217294
0.204033  0.101850  0.078820  0.263650
0.232396  0.101689  0.077781  0.303829
0.264483  0.101250  0.076610  0.349548
0.291372  0.100536  0.075643  0.387258
0.324438  0.100940  0.075231  0.435312
0.354598  0.101387  0.075475  0.476338
0.384945  0.101336  0.075603  0.515969
0.414876  0.101219  0.075911  0.553193
0.445661  0.100573  0.076471  0.586122
0.476753  0.098474  0.076639  0.612580
0.507408  0.097417  0.077208  0.640220
0.539312  0.095228  0.077757  0.660490
0.569036  0.091395  0.077471  0.671310
0.597129  0.089037  0.076748  0.692741
