J         CT        CP        eta
0.139610  0.123886  0.064288  0.269036
0.170099  0.122634  0.063894  0.326471
0.203084  0.121414  0.063806  0.386438
0.232496  0.119654  0.063382  0.438913
0.264109  0.118138  0.063358  0.492464
0.293631  0.116187  0.063193  0.539874
0.325869  0.114683  0.063733  0.586376
0.354450  0.112509  0.064050  0.622619
0.386105  0.109230  0.064382  0.655071
0.416561  0.105823  0.064773  0.680554
0.445530  0.100943  0.064063  0.702013
0.477631  0.096314  0.063798  0.721064
0.508712  0.092192  0.063472  0.738891
0.536136  0.087019  0.062132  0.750884
0.567640  0.082884  0.061294  0.767582
0.595681  0.077131  0.059288  0.774958
