J         CT        CP        eta
0.136494  0.103744  0.039452  0.358924
0.165006  0.101140  0.039634  0.421060
0.196723  0.098691  0.040057  0.484678
0.230632  0.096226  0.040561  0.547138
0.260314  0.092789  0.040594  0.595022
0.292257  0.089650  0.040934  0.640072
0.325256  0.086978  0.041591  0.680186
0.354117  0.081372  0.040912  0.704316
0.383546  0.075457  0.039911  0.725136
0.407486  0.068269  0.037830  0.735356
0.433864  0.061815  0.035818  0.748763
0.464773  0.053281  0.032589  0.759872
0.492553  0.047593  0.030388  0.771419
0.527198  0.041521  0.027963  0.782826
0.557213  0.034976  0.024960  0.780813
0.588122  0.028905  0.022057  0.770697
