J         CT        CP        eta
0.099584  0.107039  0.039361  0.270804
0.119504  0.105678  0.039697  0.318132
0.138039  0.104931  0.040261  0.359761
0.156667  0.103611  0.040594  0.399872
0.173760  0.102074  0.040836  0.434332
0.195435  0.100545  0.041225  0.476654
0.213043  0.099127  0.041482  0.509098
0.232966  0.097194  0.041657  0.543559
0.251445  0.095284  0.041813  0.573003
0.270627  0.093817  0.042195  0.601716
0.288908  0.091388  0.042088  0.627323
0.308155  0.088698  0.041993  0.650896
0.327873  0.086491  0.042102  0.673561
0.344387  0.084046  0.041939  0.690153
0.363015  0.081315  0.041774  0.706622
