J         CT        CP        eta
0.309602  0.071389  0.033290  0.663937
0.327543  0.067092  0.032390  0.678476
0.345208  0.062526  0.031259  0.690507
0.363737  0.057810  0.029982  0.701347
0.381557  0.053674  0.028839  0.710124
0.398551  0.048895  0.027336  0.712878
0.417045  0.044903  0.026080  0.718048
0.435355  0.040491  0.024598  0.716647
0.452355  0.036456  0.023238  0.709658
0.471967  0.031984  0.021679  0.696321
0.490902  0.028010  0.020240  0.679360
0.510706  0.024066  0.018756  0.655280
0.528353  0.020620  0.017150  0.635267
0.548716  0.016376  0.015437  0.582086
0.566627  0.012567  0.013635  0.522241
0.585260  0.008526  0.011832  0.421734
0.603341  0.004570  0.009959  0.276869
0.622182  0.000540  0.008006  0.041939
0.639245 -0.003084  0.006141 -0.321057
0.638879 -0.003037  0.006150 -0.315521
0.638879 -0.003037  0.006150 -0.315521
0.638879 -0.003037  0.006150 -0.315521
0.638879 -0.003037  0.006150 -0.315521
0.638879 -0.003037  0.006150 -0.315521
