J         CT        CP        eta
0.406187  0.083765  0.050726  0.670740
0.429762  0.080604  0.050302  0.688641
0.453831  0.076540  0.049416  0.702931
0.477632  0.072534  0.048488  0.714490
0.500849  0.068626  0.047479  0.723913
0.523833  0.064388  0.046172  0.730489
0.547591  0.060504  0.045035  0.735677
0.571119  0.056312  0.043625  0.737190
0.593495  0.051682  0.041783  0.734088
0.619207  0.047171  0.040050  0.729297
0.640402  0.042351  0.037838  0.716781
0.665602  0.037571  0.035707  0.700340
0.689884  0.032213  0.033043  0.672539
0.713623  0.026798  0.030221  0.632769
0.734025  0.022008  0.027548  0.586394
0.758973  0.016312  0.024279  0.509887
0.783620  0.011060  0.021155  0.409654
0.809182  0.005549  0.017815  0.252020
0.832699  0.000026  0.014430  0.001489
0.855531 -0.004996  0.011383 -0.375521
0.881247 -0.010845  0.007736 -1.235367
0.881499 -0.010841  0.007746 -1.233706
0.881499 -0.010841  0.007746 -1.233706
0.881499 -0.010841  0.007746 -1.233706
