J         CT        CP        eta
0.099246  0.060198  0.019177  0.311535
0.124974  0.057522  0.019021  0.377942
0.149040  0.055425  0.018955  0.435792
0.171585  0.053109  0.018790  0.484982
0.193498  0.050504  0.018538  0.527170
0.216307  0.047727  0.018198  0.567291
0.238896  0.045006  0.017809  0.603724
0.260107  0.042423  0.017413  0.633676
0.284291  0.039192  0.016850  0.661224
0.305465  0.035871  0.016103  0.680464
0.326768  0.032911  0.015463  0.695473
0.352000  0.029003  0.014431  0.707439
0.373891  0.025460  0.013442  0.708204
0.397035  0.021447  0.012220  0.696845
0.417864  0.017721  0.011020  0.671982
0.441555  0.013428  0.009646  0.614655
