J         CT        CP        eta
0.101122  0.120075  0.049645  0.244578
0.120673  0.119258  0.050038  0.287605
0.136269  0.118794  0.050431  0.320988
0.156838  0.117325  0.050711  0.362859
0.176054  0.116740  0.051379  0.400014
0.196545  0.115314  0.051786  0.437646
0.211050  0.114097  0.051941  0.463603
0.232988  0.113257  0.052712  0.500592
0.250540  0.111083  0.052677  0.528325
0.268935  0.110117  0.053244  0.556194
0.287164  0.109247  0.053877  0.582281
0.307359  0.107377  0.054145  0.609532
0.325219  0.105879  0.054433  0.632587
0.344581  0.103918  0.054584  0.656010
0.363564  0.102329  0.054876  0.677943
