J         CT        CP        eta
0.153783  0.100954  0.051553  0.301145
0.193700  0.097654  0.051521  0.367147
0.232726  0.092992  0.050737  0.426543
0.273355  0.089173  0.050567  0.482053
0.311510  0.084114  0.049449  0.529888
0.352635  0.079412  0.048428  0.578253
0.393434  0.074278  0.047392  0.616631
0.432986  0.068745  0.045911  0.648334
0.475018  0.062409  0.044206  0.670612
0.509618  0.056968  0.042319  0.686026
0.550700  0.049209  0.039415  0.687531
0.590738  0.041214  0.035941  0.677395
0.630688  0.032820  0.032112  0.644608
0.684413  0.021322  0.026354  0.553726
0.712392  0.015668  0.023210  0.480907
0.751786  0.007297  0.018409  0.298005
0.803692 -0.002784  0.012237 -0.182885
