J         CT        CP        eta
0.466034  0.084470  0.053469  0.736243
0.493391  0.079231  0.052465  0.745104
0.522777  0.075031  0.051731  0.758241
0.548755  0.070587  0.050374  0.768944
0.575677  0.066470  0.049044  0.780224
0.601921  0.062359  0.047604  0.788494
0.628754  0.057865  0.045841  0.793675
0.653580  0.054060  0.044289  0.797783
0.684170  0.049446  0.042329  0.799208
0.708996  0.044883  0.040067  0.794221
0.737721  0.038901  0.036836  0.779084
0.761786  0.034254  0.034226  0.762411
0.790808  0.028571  0.030960  0.729794
0.821563  0.021780  0.026744  0.669092
0.847987  0.016070  0.023137  0.588976
0.874044  0.009259  0.018614  0.434785
0.899859  0.003223  0.014489  0.200169
0.931823 -0.003977  0.009463 -0.391702
0.931777 -0.004048  0.009385 -0.401886
0.931777 -0.004048  0.009385 -0.401886
0.931777 -0.004048  0.009385 -0.401886
0.931777 -0.004048  0.009385 -0.401886
0.931777 -0.004048  0.009385 -0.401886
0.931777 -0.004048  0.009385 -0.401886
