J         CT        CP        eta
0.371876  0.096883  0.053937  0.667966
0.393021  0.094589  0.054112  0.687009
0.416173  0.092316  0.054464  0.705391
0.438875  0.089713  0.054547  0.721810
0.460447  0.086347  0.054223  0.733231
0.483889  0.083330  0.054078  0.745623
0.504834  0.079689  0.053382  0.753622
0.526631  0.075848  0.052504  0.760778
0.547271  0.072068  0.051435  0.766807
0.571201  0.069237  0.050824  0.778144
0.590047  0.065306  0.049349  0.780835
0.613123  0.061551  0.047984  0.786478
0.632480  0.058326  0.046660  0.790622
0.656555  0.054714  0.045163  0.795399
0.678366  0.050916  0.043573  0.792685
0.699355  0.047265  0.041801  0.790771
0.720503  0.043766  0.040112  0.786133
0.744228  0.039024  0.037578  0.772854
0.767141  0.035648  0.035832  0.763200
0.789717  0.031259  0.033244  0.742550
0.811881  0.027065  0.030699  0.715766
0.833293  0.022739  0.028017  0.676325
0.856187  0.017794  0.024948  0.610641
0.875323  0.013951  0.022385  0.545518
