J         CT        CP        eta
0.101209  0.107862  0.060932  0.179160
0.113904  0.108010  0.060810  0.202312
0.134142  0.107883  0.060358  0.239767
0.148765  0.107678  0.059673  0.268444
0.162296  0.107590  0.059416  0.293889
0.179014  0.107437  0.059183  0.324968
0.194969  0.106591  0.058303  0.356449
0.212254  0.106392  0.058190  0.388073
0.227894  0.106369  0.058047  0.417604
0.243704  0.106317  0.058215  0.445070
0.260205  0.105699  0.058150  0.472971
0.275671  0.105249  0.058205  0.498482
0.290899  0.105369  0.058498  0.523974
0.308025  0.105183  0.058765  0.551334
