J         CT        CP        eta
0.364994  0.029766  0.017248  0.629877
0.387821  0.025793  0.016153  0.619260
0.409662  0.021353  0.014761  0.592587
0.432316  0.017122  0.013497  0.548416
0.453329  0.012582  0.011979  0.476129
0.474794  0.007796  0.010333  0.358205
0.497650  0.002740  0.008551  0.159465
0.518678 -0.002122  0.006769 -0.162614
0.518249 -0.002112  0.006751 -0.162147
0.518249 -0.002112  0.006751 -0.162147
0.518249 -0.002112  0.006751 -0.162147
0.518249 -0.002112  0.006751 -0.162147
0.518249 -0.002112  0.006751 -0.162147
0.518249 -0.002112  0.006751 -0.162147
0.518249 -0.002112  0.006751 -0.162147
0.518249 -0.002112  0.006751 -0.162147
0.518249 -0.002112  0.006751 -0.162147
0.518249 -0.002112  0.006751 -0.162147
0.518249 -0.002112  0.006751 -0.162147
0.518249 -0.002112  0.006751 -0.162147
0.518249 -0.002112  0.006751 -0.162147
0.518249 -0.002112  0.006751 -0.162147
0.518249 -0.002112  0.006751 -0.162147
0.518249 -0.002112  0.006751 -0.162147
