J         CT        CP        eta
0.244555  0.103187  0.044833  0.562859
0.257200  0.101824  0.044882  0.583515
0.272358  0.100568  0.045078  0.607630
0.288417  0.099029  0.045206  0.631813
0.303543  0.097575  0.045307  0.653712
0.320386  0.096345  0.045563  0.677482
0.334916  0.094244  0.045375  0.695615
0.349348  0.092565  0.045317  0.713580
0.364945  0.091029  0.045378  0.732084
0.380558  0.089314  0.045356  0.749375
0.396124  0.087360  0.045221  0.765258
0.410505  0.084982  0.044865  0.777565
0.425990  0.083023  0.044706  0.791104
0.441727  0.081346  0.044637  0.804989
0.456219  0.078681  0.044057  0.814761
0.470821  0.076168  0.043511  0.824197
0.485195  0.073627  0.042895  0.832801
0.500548  0.071509  0.042469  0.842813
0.513655  0.068282  0.041372  0.847742
0.528118  0.065663  0.040572  0.854711
0.542099  0.062730  0.039548  0.859865
0.558829  0.058411  0.037838  0.862666
0.574975  0.054847  0.036400  0.866357
0.588713  0.051366  0.034896  0.866567
