J         CT        CP        eta
0.439498  0.061425  0.038087  0.708794
0.462048  0.057328  0.036917  0.717500
0.488816  0.052952  0.035659  0.725876
0.514241  0.048211  0.034096  0.727127
0.541263  0.042819  0.032100  0.722013
0.570953  0.037039  0.029825  0.709064
0.593326  0.032164  0.027711  0.688688
0.620112  0.025656  0.024700  0.644136
0.646779  0.019212  0.021587  0.575632
0.675726  0.012614  0.018396  0.463355
0.699794  0.006546  0.015346  0.298530
0.727284  0.000448  0.012240  0.026651
0.751373 -0.005768  0.008815 -0.491678
0.749960 -0.005764  0.008772 -0.492766
0.749960 -0.005764  0.008772 -0.492766
0.749960 -0.005764  0.008772 -0.492766
0.749960 -0.005764  0.008772 -0.492766
0.749960 -0.005764  0.008772 -0.492766
0.749960 -0.005764  0.008772 -0.492766
0.749960 -0.005764  0.008772 -0.492766
0.749960 -0.005764  0.008772 -0.492766
0.749960 -0.005764  0.008772 -0.492766
0.749960 -0.005764  0.008772 -0.492766
0.749960 -0.005764  0.008772 -0.492766
