J         CT        CP        eta
0.178958  0.091458  0.035074  0.466645
0.225274  0.084910  0.035006  0.546424
0.266243  0.078876  0.035053  0.599093
0.301975  0.068291  0.032723  0.630199
0.339146  0.060422  0.030809  0.665124
0.378600  0.051286  0.027728  0.700260
0.420963  0.043856  0.025297  0.729800
0.462101  0.036342  0.022545  0.744878
0.505727  0.029035  0.019770  0.742745
0.542466  0.023141  0.017446  0.719572
0.584188  0.016486  0.015061  0.639433
0.621269  0.009328  0.012020  0.482144
0.664945  0.000136  0.007890  0.011449
0.665016  0.000161  0.007929  0.013534
0.665016  0.000161  0.007929  0.013534
0.665016  0.000161  0.007929  0.013534
